epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,517.982,1.50106,1.48691,1.72564,0.57454,0.49345,0.48254,0.19541,1.73958,1.93039,1.80474,0.0005941,0.0005941,0.0005941
43,530.114,1.4912,1.48938,1.71922,0.71641,0.51092,0.58792,0.23982,1.74056,1.65894,1.83644,0.0005842,0.0005842,0.0005842
44,542.255,1.48757,1.51017,1.71749,0.71113,0.48472,0.54542,0.2348,1.75114,1.71892,1.8365,0.0005743,0.0005743,0.0005743
45,554.248,1.4432,1.47374,1.7112,0.68903,0.44508,0.52519,0.21729,1.80254,1.75713,1.88613,0.0005644,0.0005644,0.0005644
46,566.126,1.48266,1.51459,1.72865,0.65493,0.55022,0.54831,0.2251,1.69316,1.678,1.7718,0.0005545,0.0005545,0.0005545
47,577.87,1.50109,1.48679,1.74637,0.65297,0.54585,0.56216,0.23288,1.75817,1.67849,1.78226,0.0005446,0.0005446,0.0005446
48,589.828,1.49782,1.41121,1.71512,0.62944,0.55459,0.56178,0.23697,1.74203,1.64038,1.81043,0.0005347,0.0005347,0.0005347
49,601.674,1.48453,1.38664,1.7008,0.65776,0.51196,0.55683,0.22799,1.82328,1.68824,1.8767,0.0005248,0.0005248,0.0005248
50,613.688,1.44511,1.37902,1.66816,0.69606,0.55895,0.60126,0.23841,1.84002,1.55698,1.90381,0.0005149,0.0005149,0.0005149
51,625.7,1.45429,1.39128,1.67752,0.65546,0.52402,0.56092,0.23768,1.73385,1.68367,1.76777,0.000505,0.000505,0.000505
52,638.974,1.42406,1.42456,1.66664,0.77365,0.49345,0.58314,0.2411,1.83517,1.79184,1.86695,0.0004951,0.0004951,0.0004951
53,654.184,1.44257,1.46291,1.7117,0.63455,0.53835,0.59967,0.24584,1.82497,1.54138,1.93775,0.0004852,0.0004852,0.0004852
54,669.323,1.43862,1.4369,1.70144,0.65343,0.51047,0.54106,0.2276,1.73814,1.62359,1.81748,0.0004753,0.0004753,0.0004753
55,684.405,1.41875,1.38174,1.64056,0.66694,0.54585,0.55727,0.24188,1.73934,1.63681,1.82501,0.0004654,0.0004654,0.0004654
56,701.118,1.42481,1.40206,1.69153,0.66617,0.54148,0.58383,0.23326,1.81122,1.66572,1.90488,0.0004555,0.0004555,0.0004555
57,717.419,1.37775,1.35934,1.6412,0.66455,0.53712,0.5838,0.23392,1.79964,1.63469,1.91073,0.0004456,0.0004456,0.0004456
58,729.646,1.43244,1.36983,1.66615,0.61629,0.51092,0.53264,0.22491,1.7541,1.67196,1.83364,0.0004357,0.0004357,0.0004357
59,742.247,1.41717,1.36883,1.67727,0.61218,0.48908,0.5429,0.23967,1.74821,1.63783,1.84712,0.0004258,0.0004258,0.0004258
60,754.402,1.42201,1.37919,1.64824,0.63578,0.48035,0.53383,0.2204,1.76657,1.67407,1.86538,0.0004159,0.0004159,0.0004159
61,766.85,1.39192,1.37427,1.65369,0.64855,0.56769,0.60001,0.24983,1.72112,1.54276,1.8318,0.000406,0.000406,0.000406
62,782.639,1.35713,1.29621,1.61507,0.58917,0.51528,0.53516,0.21382,1.79647,1.72339,1.85447,0.0003961,0.0003961,0.0003961
63,794.976,1.38838,1.32459,1.63365,0.67084,0.58739,0.61088,0.24717,1.7607,1.58873,1.84466,0.0003862,0.0003862,0.0003862
64,807.203,1.3555,1.2659,1.62381,0.68204,0.49647,0.55688,0.22505,1.82912,1.69692,1.94285,0.0003763,0.0003763,0.0003763
65,819.347,1.38872,1.26492,1.63567,0.64913,0.55895,0.58832,0.23622,1.78319,1.62775,1.88351,0.0003664,0.0003664,0.0003664
66,831.766,1.37998,1.29927,1.59456,0.60726,0.54148,0.53444,0.21912,1.78987,1.73963,1.84747,0.0003565,0.0003565,0.0003565
67,843.979,1.33769,1.31735,1.59084,0.68049,0.53712,0.57214,0.24125,1.74425,1.6358,1.82588,0.0003466,0.0003466,0.0003466
68,856.055,1.34858,1.25353,1.60324,0.65311,0.51528,0.52618,0.22488,1.72941,1.71952,1.79953,0.0003367,0.0003367,0.0003367
69,868.215,1.35261,1.26619,1.61009,0.67525,0.55387,0.5778,0.2326,1.74129,1.63787,1.82996,0.0003268,0.0003268,0.0003268
70,880.279,1.35639,1.29677,1.60671,0.56321,0.54148,0.48194,0.18965,1.81976,1.73311,1.87615,0.0003169,0.0003169,0.0003169
71,892.404,1.38414,1.3251,1.62512,0.6445,0.53834,0.52379,0.20979,1.76593,1.67115,1.84482,0.000307,0.000307,0.000307
72,904.555,1.31653,1.26655,1.56195,0.67892,0.5448,0.54921,0.23859,1.74328,1.56032,1.83681,0.0002971,0.0002971,0.0002971
73,916.617,1.32395,1.26035,1.60208,0.68772,0.55459,0.5578,0.23026,1.80686,1.61281,1.89402,0.0002872,0.0002872,0.0002872
74,928.708,1.3128,1.23879,1.58177,0.66163,0.56356,0.55576,0.2343,1.75131,1.56904,1.85209,0.0002773,0.0002773,0.0002773
75,940.922,1.32333,1.23769,1.59406,0.63242,0.57205,0.5491,0.23106,1.77327,1.6339,1.88307,0.0002674,0.0002674,0.0002674
76,953.025,1.34441,1.26252,1.58913,0.70263,0.55895,0.58412,0.24027,1.75933,1.6095,1.84276,0.0002575,0.0002575,0.0002575
77,965.173,1.29175,1.26512,1.56012,0.72391,0.57642,0.59611,0.24711,1.75878,1.51943,1.84405,0.0002476,0.0002476,0.0002476
78,977.467,1.29502,1.21997,1.57415,0.65931,0.58079,0.57862,0.24431,1.79234,1.56254,1.8636,0.0002377,0.0002377,0.0002377
79,989.721,1.32383,1.24653,1.60328,0.70069,0.59293,0.60249,0.25827,1.7405,1.46267,1.82857,0.0002278,0.0002278,0.0002278
80,1001.97,1.32734,1.19392,1.57447,0.69071,0.58511,0.60118,0.25925,1.74156,1.49514,1.84942,0.0002179,0.0002179,0.0002179
81,1013.95,1.29275,1.14742,1.56711,0.68681,0.55895,0.59874,0.24977,1.76958,1.53118,1.8707,0.000208,0.000208,0.000208
82,1026.13,1.30157,1.18469,1.55882,0.6292,0.58079,0.57462,0.2317,1.78921,1.61278,1.87299,0.0001981,0.0001981,0.0001981
83,1038.23,1.30476,1.17513,1.574,0.63238,0.58079,0.59389,0.23613,1.78317,1.56509,1.86043,0.0001882,0.0001882,0.0001882
